Male,Age ,Height ,Weight,BMI,VO2 
FALSE,18,150,50,22.22222222,2
FALSE,19,160,52,20.3125,2.1
FALSE,19,155,54,22.47658689,2.1
FALSE,20,152,55,23.80540166,2.2
FALSE,18,156,56,23.01117686,2.1
FALSE,20,160,56,21.875,2
FALSE,20,170,57,19.72318339,2.25
FALSE,19,155,58,24.14151925,2.25
FALSE,19,152,58,25.10387812,2.2
FALSE,18,180,59,18.20987654,2.25
FALSE,23,160,59,23.046875,2.35
FALSE,19,170,60,20.76124567,2.1
FALSE,21,163,60,22.58270917,2.35
FALSE,20,173,61,20.38156972,2.2
FALSE,18,155,61,25.39021852,2.35
FALSE,19,153,62,26.48553975,2.3
FALSE,19,170,63,21.79930796,2.3
FALSE,20,163,63,23.71184463,2.4
FALSE,18,157,64,25.96454217,2.4
FALSE,20,164,64,23.7953599,2.25
FALSE,20,173,65,21.71806609,2.25
FALSE,19,155,65,27.05515088,2.4
FALSE,18,160,65,25.390625,2.45
FALSE,19,177,66,21.06674327,2.2
FALSE,20,162,67,25.52964487,2.15
FALSE,19,157,68,27.58732606,2.4
FALSE,18,164,70,26.0261749,2.65
FALSE,22,180,70,21.60493827,2.7
FALSE,21,160,72,28.125,2.6
FALSE,18,168,73,25.86451247,2.9
TRUE,19,163,65,24.4646016,3
TRUE,19,170,66,22.83737024,3.1
TRUE,20,177,67,21.38593635,3
TRUE,18,165,70,25.71166208,3.1
TRUE,19,160,71,27.734375,3.1
TRUE,20,168,71,25.15589569,3.15
TRUE,19,174,73,24.11150746,3.15
TRUE,21,180,74,22.83950617,3.2
TRUE,18,184,75,22.1526465,3.2
TRUE,19,177,75,23.93948099,3.3
TRUE,19,163,76,28.60476495,3.3
TRUE,19,177,76,24.25867407,3.4
TRUE,20,180,77,23.7654321,3.4
TRUE,19,168,77,27.28174603,3.5
TRUE,20,174,77,25.43268596,3.7
TRUE,20,172,78,26.36560303,3.5
TRUE,18,180,78,24.07407407,3.6
TRUE,19,185,78,22.79035793,3.7
TRUE,18,183,79,23.58983547,3.55
TRUE,20,175,79,25.79591837,3.6
TRUE,20,173,80,26.7299275,3.65
TRUE,18,179,81,25.28010986,3.7
TRUE,19,182,81,24.45356841,3.75
TRUE,18,177,82,26.17383255,3.75
TRUE,23,180,83,25.61728395,3.75
TRUE,19,188,83,23.48347669,3.8
TRUE,20,184,88,25.99243856,3.65
TRUE,18,180,91,28.08641975,3.75
TRUE,19,188,93,26.31281123,3.95
TRUE,18,186,96,27.7488727,4.1